SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	Year-年
硕士	全产业链商业模式下企业财务战略选择及效果评价	张晗	安徽财经大学	安徽财经大学			2024
硕士	利益相关者视角下企业社会责任履行与企业价值关系研究	张一帆	吉首大学	吉首大学			2024
硕士	多元化经营对中医药企业价值创造的影响研究	李雯	北京外国语大学	北京外国语大学			2024
硕士	片仔癀干预糖酵解调节记忆性Treg/Th17平衡治疗自身免疫性肝炎的作用机制研究	郑林欣	江西中医药大学	江西中医药大学			2024
硕士	云南白药金融化下的财务绩效研究	吴雅楠	兰州财经大学	兰州财经大学	金融化;;财务绩效;;云南白药	随着我国进行供给侧结构性改革,经济已进入高质量发展阶段,产业结构不断调整,服务业占比不断上升,导致实体企业发展空间受到压缩,同时实体企业还面临着融资和经营困难的问题。目前证券和股票市场不断完善和发展,金融业的利润持续上升。在这种趋势下,实体企业开始开展金融化活动。医药制造行业是我国的重要支柱产业,未来发展前景十分可观。近年来,由于各种内外部因素的影响,许多医药制造企业开始将资金投入到金融领域。云南白药作为医药行业的领军企业和金融化程度较高的企业,研究其金融化下的财务绩效问题具有一定的现实意义。 本文在梳理了国内外相关文献并确定了本文的理论基础的基础上详细分析了云南白药的金融化现状和动因;然后运用熵值法对云南白药的财务绩效从横纵两个方向和偿债、盈利、运营、发展、研发能力五个维度进行对比,分析其现存的问题与不足。通过上述研究发现:第一,云南白药金融化受内外两方面因素影响。第二,云南白药存在过度金融化现象。第三,金融化对云南白药财务绩效存在负面影响。第四,金融化对企业的研发能力产生了一定程度的抑制作用。最后建议政府应加强对企业金融化的监管,鼓励实体企业专注于主营业务和实体投资。同时,云南白药公司应该增强金融风险防范意识,合理配置自身的金融资产,并重视自身主营业务的发展。 通过对云南白药金融化对企业财务绩效的影响进行分析,丰富了关于企业金融化对财务绩效的微观层面研究,同时为我国其他企业开展金融化活动提供了建议,使实体企业能够充分利用适度金融化所带来的积极影响,并避免过度金融化可能产生的不利影响。	2024
硕士	片仔癀转型轻资产运营模式绩效研究	金卓玛措	兰州财经大学	兰州财经大学	轻资产运营;;片仔癀;;转型;;绩效分析	随着我国经济实力的持续增强,国内企业所面临的机遇与挑战亦日益增多。近年来,国家医疗改革持续推进,一系列医改政策和新规的出台,使我国医药行业的经营环境发生深刻变革,为了在日益激烈的市场竞争中立足并实现可持续发展,医药企业亟需革新传统经营模式,探索新的战略发展路径,逐步向创新型企业转型。近几年轻资产运营作为一种新兴的资产运营模式,逐渐展现出其独特的优势,在医药行业实施轻资产运营模式已成为一种新的发展趋势。 本文以片仔癀为主要案例研究对象,以文献分析法和案例分析法为主要研究手段,在梳理相关理论的基础上,重点分析了片仔癀轻资产运营模式对企业绩效的影响状况。首先,重点研究转型轻资产运营模式的内在动因和实施路径;其次,以财务和非财务为主体进行双视角分析,分析轻资产运营模式对片仔癀的影响;最后,通过上述一系列研究得出:片仔癀转型后其综合实力得到了显著提高,但仍存在存货管理体系不完善、质量监管水平不高以及对销售费用的管控还需加强等问题,并针对片仔癀轻资产运营模式存在的问题提出了相关优化策略。作为一家历史悠久、品牌价值较高的中医药企业,本文通过重点研究片仔癀的轻资产管理模式,指出企业在转型轻资产运营模式时,需要制定科学的手段并以此提高绩效水平,为企业的轻资产运营转型打下坚实基础,推动企业实现更长远的发展。	2024
硕士	基于Schwatrz-Moon模型的中医药企业价值评估	邱阿惠	山西财经大学	山西财经大学	企业价值评估;;中医药企业;;实物期权法;;Schwartz-Moon模型	2022年3月29日,在《“十四五”中医药发展规划》指出,要以深化改革创新推进中医药事业高质量发展,注重满足人民日益增长的健康需求;2023年3月3日,国务院印发了《中医药振兴发展重大工程实施方案》,指出中医药是关系到国计民生的战略性资源,要通过跨领域、跨行业和国家重点研发计划提升中医药产业创新能力,推进中医药现代化。中医药作为国民生活的重要组成部分,其行业地位不言而喻,在时代需求和信息技术的不断创新下,传统的中医药企业更应把握机遇,抓住时代的风口加快其产业布局。在此背景下,准确的企业估值对顺应国家政策,推动中医药企业创新转型具有重要意义。因此,中医药企业有什么特点,以及如何选择适用于中医药企业的价值评估模型值得进一步深入研究。 基于此,本文首先梳理了中医药企业评估的相关文献;其次,在分析中医药企业的特点及企业价值影响因素的基础上,对传统评估方法、实物期权法进行了行业适用性分析;再次,构建实物期权法下的Schwartz-Moon定价模型,并根据中医药企业特点,对模型参数进行修正;最后,以中医药行业龙头企业——片仔癀为案例,在对其基本情况及财务状况进行分析后,运用改进的Schwartz-Moon模型对片仔癀的企业价值进行估值,并与其市场价值相比较,验证该模型评估结果的准确性。本文的主要结论有:(1)使用Schwartz-Moon模型能较好的体现片仔癀的潜在期权价值,将Schwartz-Moon定价模型结合蒙特卡罗模拟法进行模拟对片仔癀企业价值进行估值,得出片仔癀在2022年12月31日的每股价格为270.45,当日片仔癀股票收盘价为288.41,误差较小;(2)根据敏感性分析中各重要参数对评估结果的敏感程度中,长期变动成本率、期初收入增长率对评估结果的影响较大。 本文的边际贡献如下:(1)构建实物期权法下的Schwartz-Moon定价模型对中医药企业价值进行评估,丰富了企业价值评估领域相关文献;(2)根据中医药企业特征对Schwartz-Moon模型中的倍加系数和变动成本率等重要参数进行修正,对中医药企业的估值更具行业适用性。	2024
硕士	医药企业轻资产运营模式转型路径及效果研究	黄镜学	四川师范大学	四川师范大学	轻资产运营模式;;医药行业;;片仔癀;;转型路径;;转型效果	随着国家人口老龄化趋势的加剧及民众生活品质的持续改善,民众对健康的关注度日益增强,使得医药行业成为民众高需求的行业之一。为满足民众对优质医疗服务的需求,近年来国家不断推进医药行业改革进程,通过出台和实施了一系列扶持政策,有力促进医药行业的蓬勃发展,使其成为市场经济中发展最为迅速的行业之一。然而,医药行业具有典型传统制造业的重资产特征,高额初始投入、庞大设备占比,及技术创新项目投资回报期长,都严重制约了医药行业的有效资产利用和发展步伐。在这一背景下,轻资产运营作为一种高效的企业经营和资本运作的价值驱动型资本战略,轻资产运营模式转型已成为医药企业寻求更优质发展的重要策略之一。 本文以片仔癀药业为研究案例,深入探讨了医药企业转型轻资产运营模式的路径和效果。文章开篇对研究所依赖的理论基础、研究方法和轻资产相关概念界定等进行详细阐述,为后文研究提供理论依据。本文首先对片仔癀药业所处的医药行业现状进行了简要叙述,随后分析了医药企业轻资产运营的转型动因、路径及其所取得的效果。在对片仔癀药业的基本情况进行概括性的介绍后,文章进一步对该企业选择轻资产转型的动因进行分析。研究的核心部分集中于对该药业转型路径的细致分析,研究发现该药企通过重视研发创新、加强营销推广、降低生产成本和优化融资方式四个主要路径实现转型。最后,为全面评估转型效果,本文从非财务与财务两个维度进行研究,对比分析转型前后非财务指标的变化情况以及各财务指标纵向与横向表现。 从本文最终结论发现,轻资产运营模式对片仔癀药业起到了正向作用,主要表现在研发和营销能力上,两种能力都有不同程度的提升。同时偿债、运营、盈利及发展能力等方面以为呈现出积极趋势。尽管如此,转型后的企业仍面临提升管控能力与进一步降本增效的挑战。基于此,本文从上述四个路径出发提炼出医药行业轻资产运营模式转型的启示,以期为同行业其他想要向轻资产运营模式的企业提供转型路径上的实践参考。	2024
硕士	轻资产运营模式下片仔癀药业财务绩效研究	李洁	湖南理工学院	湖南理工学院	轻资产运营模式;;财务绩效;;片仔癀药业	“十四五”时期,医药行业的发展正面临复杂而深刻的内外部环境变化。健康中国建设全面推进,卫生健康事业从以治病为中心向以人民健康为中心转变。面对新形势新要求,国家相关部门颁布了《“十四五”医药行业发展规划》,推进药品创新研发。在此背景下,由于轻资产运营模式能够凭借”轻“撬动更多资源,更易实现创新研发,从而越来越多的药企向该模式转型。 通过深入研究轻资产运营模式和财务绩效之间的关系,发现轻资产运营模式对财务绩效的影响具有双面性。对于医药行业来说,轻资产运营模式因其注重技术研发、品牌建设、客户关系、营销渠道等特性适合医药行业的发展趋势,因而具有一定的可行性。基于此,本文深入研究医药行业中片仔癀药业在该模式下的财务绩效。在研究过程中,检验其是否符合轻资产运营模式的财务特征,分析片仔癀药业应用轻资产运营模式的动因;在此基础上,确定所需财务指标并进行分析后,运用熵权-TOPSIS法对片仔癀药业及五家对比企业2018-2022年财务绩效进行综合评价;发现其在纵向层面存在现金流不稳定、收入未能实现可持续增长和研发投入相对欠缺等问题,在横向层面存在债务配置不合理和存货周转效率低等问题;针对这些问题在纵向层面提出增加现金流量、增强对市场的把控和提升研发力度等方案,在横向层面提出拓宽融资渠道和保障存货高效运转等解决方案。希望能够为医药行业将要采取或已经采取该模式的企业提供启示和参考。 通过理论与案例相结合的方法进行研究,证实片仔癀药业采取轻资产运营模式具有可行性,且该模式灵活性较强,可普遍推广应用于医药行业之中。	2024
博士	片仔癀干预mTOR信号通路调节细胞自噬治疗自身免疫性肝炎的分子机制研究	刘妙华	江西中医药大学	江西中医药大学	片仔癀;;自身免疫性肝炎;;细胞自噬;;哺乳动物雷帕霉素靶蛋白	目的: 本研究以细胞自噬和m TOR信号通路为切入点,通过体内与体外实验研究,在明确片仔癀治疗实验性自身免疫性肝炎疗效的同时,从干预m TOR信号通路调控肝细胞自噬水平探索其可能的作用机制,为片仔癀防治自身免疫性肝炎（AIH）提供可靠实验依据,有助于进一步拓展和完善PTH的药理作用研究范畴。 方法: 1.动物模型复制和给药方法:50只SPF级雄性C57BL/6小鼠随机分成5组,即正常组、模型组、片仔癀组、雷帕霉素组和地塞米松组,每组10只;按体表面积换算,片仔癀组给予0.234 g·kg<sup>-1</sup>片仔癀混悬液灌胃给药,雷帕霉素组给予2 mg·kg<sup>-1</sup>雷帕霉素混悬液腹腔注射给药,地塞米松组给予3 mg·kg<sup>-1</sup>地塞米松注射液腹腔注射给药,正常组与模型组小鼠灌胃等体积的生理盐水,每天1次,共10天;末次给药3 h后,除正常组外,每只小鼠给予15 mg·kg<sup>-1</sup> Con A尾静脉注射,8小时后摘眼球取血并采集肝脏组织。 2.片仔癀对Con A诱导的AIH的药效学评价:Con A尾静脉注射8小时后观察并记录各组小鼠体重变化、毛发色泽、活动程度、精神状态等情况。将小鼠麻醉进行摘眼球取血后安乐死采集肝脏组织,拍照并称重,计算肝重指数,制备肝脏组织病理切片,镜下观察各组肝脏病理状况,并采用双盲法对其进行病理损伤评分。利用全自动生化分析仪检测小鼠血清肝功能,通过ELISA法检测小鼠肝脏组织IL-6、IL-12 p35、IL-17A、IFN-γ、IL-4、IL-10、TGF-β和TNF-α细胞因子水平及Ig A、Ig G和Ig M免疫球蛋白水平。 3.片仔癀对AIH小鼠肝细胞自噬的影响:各组小鼠麻醉后,迅速取出肝脏组织经2.5%戊二醛和1%锇酸固定后,脱水、包埋、固化、超薄切片和染色后在透射电镜下观察并拍片,观察肝细胞自噬小体或自噬溶酶体的形成。用免疫组织化学法或免疫荧光法标记LC3-B、Beclin-1等相关蛋白,探究片仔癀对AIH小鼠肝细胞自噬的影响。 4.片仔癀对AIH小鼠m TOR信号通路的调控作用:采用Western blot法检测与肝细胞自噬相关的m TOR信号核心指标（m TOR、p-m TOR、Rator、Rictor等）,上游蛋白（TSC2、Rheb等）以及下游蛋白（Atg13、p-Atg13、ULK1、p-ULK1、FIP200、AMBRA1、VPS34、p-VPS34、Beclin-1、p-Beclin-1、LC3B）,并采用RT-q PCR技术验证与m TOR信号及相关的自噬基因（m TOR、Beclin-1、LC3B、Atg13、Rictor等）,探究片仔癀对AIH小鼠m TOR信号通路的调控作用。 5.片仔癀对Con A诱导的肝炎AML-12细胞药效学评价、自噬水平及m TOR通路的影响:将AML-12细胞（1×10～5）铺至6孔板中,培养24 h后,随机分为6组,即正常组（Ctrl）,模型组（Con A）,片仔癀高（PTH-H）、中（PTH-M）、低（PTH-L）组,雷帕霉素组（Rap）。根据预实验结果所得,PTH高中低剂量组分别加入0.2、0.1、0.05 mg·m L<sup>-1</sup>片仔癀溶液培养24 h;翌日,Rap组加入50 n M Rap溶液培养10 h;最后除正常组外,其余各组加入10μg·m L<sup>-1</sup>Con A溶液培养12 h,造模结束后收集细胞进行后续实验。通过ELISA法检测AML-12细胞IFN-γ和TNF-α细胞因子水平;采用免疫荧光法标记LC3-B相关蛋白,探究片仔癀对AML-12肝炎细胞自噬的影响。采用Western blot法和RT-q PCR技术检测与肝细胞自噬相关的m TOR信号核心指标,探究片仔癀对AML-12肝炎细胞m TOR信号通路的调控作用。 6.片仔癀对AML-12细胞自噬模型自噬水平及m TOR通路的影响:将AML-12细胞（1×10～5）铺至6孔板中,培养24 h后,随机分为6组,即正常组（Ctrl）,雷帕霉素自噬促进模型组（Rap）,片仔癀组（PTH）,雷帕霉素+片仔癀组（Rap+PTH）,3-甲基腺嘌呤自噬抑制模型组（3-MA）,3-甲基腺嘌呤+片仔癀组（3-MA+PTH）。根据上述实验结果所得,PTH组、PTH+Rap组、PTH+3-MA组加入0.2 mg·m L<sup>-1</sup>片仔癀溶液培养24 h;翌日,Rap组和PTH+Rap组加入50 n M Rap溶液培养10 h,3-MA组和PTH+3-MA组加入5 m M 3-MA溶液培养10 h,培养结束后收集细胞进行后续实验。采用免疫荧光法标记LC3-B相关蛋白,探究片仔癀对AML-12细胞自噬的影响。采用Western blot法和RT-q PCR技术检测与肝细胞自噬相关的m TOR信号核心指标,探究片仔癀对AML-12细胞m TOR信号通路的调控作用。 7.统计学分析:所有实验数据均采用SPSS 22.0和Graph Pad Prism software8.0软件进行数据处理分析,采用独立样本t检验或单因素方差分析（ANOVA）,实验结果用平均数标准误差（Mean±SEM）表示,P<0.05为差异有统计学意义。 结果: 1.小鼠的一般状态变化:各组小鼠给药期间精神状态良好,毛色柔顺有光泽,行动灵活,二便及饮食量正常;末次给药3 h后,除正常组外,每只小鼠给予15mg·kg<sup>-1</sup> Con A尾静脉注射进行造模,禁食不禁水8小时,各组小鼠均出现了不同程度的精神萎靡,毛色暗淡,体重增长率下降;与Con A组相比,片仔癀组小鼠体量增长率的下降趋势较Con A组平缓。 2.片仔癀对Con A诱导的AIH的药效学评价:肝功能检测显示小鼠片仔癀组的ALT、AST、GGT、ALP、TBIL、DBIL和LDL-C水平均呈现出不同程度的下调,且具有统计学意义（P<0.01）;同时小鼠血清中的HDL-C也存在显著上升的情况（P<0.01）。上述结果表明,PTH可以有效改善Con A诱导的AIH小鼠的肝功能。显微镜下观察显示片仔癀、雷帕霉素和地塞米松组中可见肝细胞肿胀减轻,且丰富度回升,炎症细胞浸润减少,肝小叶结构基本完整,各治疗组中的肝组织损伤得到了不同程度的缓解,各治疗组Ishak评分显著下降（P<0.01或P<0.05）;血清Ig A、Ig G和Ig M水平不同程度的下调;肝脏组织中IL-6、IL-12、IL-17、TNF-α和IFN-γ的水平显著下调（P<0.01）,而IL-4、IL-10和TGF-β的水平显著回升（P<0.01）。 3.片仔癀对AIH小鼠肝细胞自噬的影响:经片仔癀干预后小鼠肝细胞细胞核皱缩情况略有好转,膜完整;线粒体轻度肿胀,嵴断裂部分消失;粗面内质网增多,偶见部分断裂,脂滴数减少,有较多自噬体。肝脏组织中的Beclin1蛋白棕色表达和LC3蛋白荧光表达显著提升。 4.片仔癀对AIH小鼠m TOR信号通路的调控作用:经片仔癀和雷帕霉素干预过后,治疗组小鼠肝脏组织中的m TOR、p-m TOR、Rheb、Raptor和Rictor蛋白的表达水平显著下调（P<0.01）;而TSC2、Atg13、p-Atg13、ULK1、p-ULK1、FIP200、AMBRA1、VPS34、p-VPS34、Beclin-1、p-Beclin-1和LC3Ⅱ/Ⅰ蛋白的表达水平均有不同程度的上升（P<0.01或P<0.05）。且治疗组小鼠肝脏组织中的m TOR和Rictor的表达水平明显下调（P<0.01或P<0.05）,Atg13、Beclin-1和LC3B的表达水平明显升高（P<0.01或P<0.05）。 5.片仔癀对Con A诱导的肝炎AML-12细胞药效学评价、自噬水平及m TOR通路的影响:经片仔癀高中低剂量和雷帕霉素干预过后,与Con A组相比,各治疗组的AML-12细胞活力均得到了不同程度的恢复（P<0.05或P<0.01）,以片仔癀高剂量效果最佳;Elisa检测IFN-γ和TNF-α表达水平均呈现出明显下调（P<0.01）,以片仔癀高剂量效果最佳;AML-12细胞中的LC3蛋白荧光表达显著提升;AML-12细胞中的m TOR蛋白和m RNA表达水平显著下调（P<0.01）;而Atg13和LC3Ⅱ/Ⅰ蛋白和m RNA表达水平均明显上升（P<0.01）,且以片仔癀高剂量效果最佳。 6.片仔癀对AML-12细胞自噬模型自噬水平及m TOR通路的影响:与正常组相比,Rap组和片仔癀组AML-12细胞中LC3蛋白荧光表达明显增多,但片仔癀组比Rap组稍弱一些,而3-MA组中的LC3蛋白荧光表达明显减少;与Rap组相比,Rap和片仔癀联合用药下,LC3蛋白荧光表达进一步提升;与3-MA组相比,片仔癀干预过后,LC3蛋白荧光表达得到了明显恢复。Western blot检测显示,与正常组相比,Rap组和片仔癀组AML-12细胞中的m TOR蛋白的表达水平显著下降（P<0.01或P<0.05）,Atg13和LC3Ⅱ/Ⅰ蛋白的表达水平显著上调（P<0.01）,而3-MA组中的m TOR蛋白的表达水平显著上升（P<0.01）,Atg13和LC3Ⅱ/Ⅰ蛋白的表达水平显著下降（P<0.01）;与Rap组相比,Rap和片仔癀联合用药下,m TOR蛋白的表达水平得到了进一步下调（P<0.01）,Atg13和LC3Ⅱ/Ⅰ蛋白的表达水平得到了进一步上升（P<0.01）;与3-MA组相比,片仔癀干预过后,m TOR蛋白的表达水平显著下降（P<0.01）,Atg13和LC3Ⅱ/Ⅰ蛋白的表达水平显著恢复（P<0.01）,RT-q PCR的检测结果与Western blot趋势相同。 结论: 片仔癀可有效缓解实验性自身免疫性肝炎,其作用机制是通过抑制m TOR信号通路激活细胞自噬,具体是通过抑制小鼠肝脏组织及AML-12细胞内m TOR信号活化,促进LC3B、Atg13等自噬相关基因表达,增加溶酶体数量,改善小鼠肝功能,下调血清高免疫球蛋白血症,恢复促炎因子和抑炎因子之间的平衡实现的。	2024
